EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1841576.000,33411,2,AK,1,100,32605
1841576.000,33411,2,AK,1,100,RD
1841604.500,33414,2,AK,1,100,33412
1841633.000,33414,2,AK,1,100,RD
1844166.500,34247,2,AK,1,100,33412
1846700.000,34247,2,AK,1,100,RD
1846714.500,34250,2,AK,1,100,34248
1846729.000,34250,2,AK,1,100,RD
1849276.500,35072,2,AK,1,100,34248
1851824.000,35072,2,AK,1,100,RD
1851847.500,35075,2,AK,1,100,35073
1851871.000,35075,2,AK,1,100,RD
1854411.500,35897,2,AK,1,100,35073
1856952.000,35897,2,AK,1,100,RD
1856978.000,35900,2,AK,1,100,35898
1857004.000,35900,2,AK,1,100,RD
1859538.000,36721,2,AK,1,100,35898
1862072.000,36721,2,AK,1,100,RD
1864629.000,37528,2,AK,1,100,36722
1867186.000,37528,2,AK,1,100,RD
1867187.500,37530,2,AK,1,100,36722
1867189.000,37530,2,AK,1,100,RD
1867222.000,37533,2,AK,1,100,37531
1867255.000,37533,2,AK,1,100,RD
1869774.500,38339,2,AK,1,100,37531
1872294.000,38339,2,AK,1,100,RD
1872327.500,38342,2,AK,1,100,38340
1872361.000,38342,2,AK,1,100,RD
1874881.000,39148,2,AK,1,100,38340
1877401.000,39148,2,AK,1,100,RD
1877413.500,39151,2,AK,1,100,39149
1877426.000,39151,2,AK,1,100,RD
1880019.500,39926,2,AK,1,100,39149
1882613.000,39926,2,AK,1,100,RD
1882648.500,39929,2,AK,1,100,39927
1882684.000,39929,2,AK,1,100,RD
1885208.500,40750,2,AK,1,100,39927
1887733.000,40750,2,AK,1,100,RD
1890289.000,41571,2,AK,1,100,40751
1892845.000,41571,2,AK,1,100,RD
1892848.000,41573,2,AK,1,100,40751
1892851.000,41573,2,AK,1,100,RD
1892858.500,41576,2,AK,1,100,41574
1892866.000,41576,2,AK,1,100,RD
1895414.500,42396,2,AK,1,100,41574
1897963.000,42396,2,AK,1,100,RD
1897973.500,42399,2,AK,1,100,42397
1897984.000,42399,2,AK,1,100,RD
1900527.000,43206,2,AK,1,100,42397
1903070.000,43206,2,AK,1,100,RD
1903120.500,43209,2,AK,1,100,43207
1903171.000,43209,2,AK,1,100,RD
1905674.500,44015,2,AK,1,100,43207
1908178.000,44015,2,AK,1,100,RD
1908196.000,44018,2,AK,1,100,44016
1908214.000,44018,2,AK,1,100,RD
1910751.500,44824,2,AK,1,100,44016
1913289.000,44824,2,AK,1,100,RD
