EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1841273.000,33377,1,BV,1,100,3.76
1846272.000,34194,1,BV,1,100,3.76
1851272.000,34987,1,BV,1,100,3.76
1856271.000,35795,1,BV,1,100,3.75
1861271.000,36605,1,BV,1,100,3.75
1866270.000,37395,1,BV,1,100,3.75
1871270.000,38189,1,BV,1,100,3.76
1876269.000,38981,1,BV,1,100,3.76
1881269.000,39775,1,BV,1,100,3.75
1886268.000,40519,1,BV,1,100,3.75
1891268.000,41323,1,BV,1,100,3.75
1896267.000,42133,1,BV,1,100,3.75
1901267.000,42942,1,BV,1,100,3.75
1906266.000,43732,1,BV,1,100,3.75
1911266.000,44527,1,BV,1,100,3.75
