LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
0.000000,0.000000,1726701767.679608,420457.000,771,1,TL,1,100,2024-09-18_19-22-42-679392
0.000000,0.000000,1726701767.700608,420478.000,774,1,TL,1,100,2024-09-18_19-22-47-690309
0.000000,0.000000,1726701772.787680,425565.000,1606,1,TL,1,100,2024-09-18_19-22-47-766004
0.000000,0.000000,1726701772.805680,425583.000,1609,1,TL,1,100,2024-09-18_19-22-52-797878
0.000000,0.000000,1726701777.898752,430676.000,2435,1,TL,1,100,2024-09-18_19-22-52-853567
0.000000,0.000000,1726701777.979753,430757.000,2438,1,TL,1,100,2024-09-18_19-22-57-967263
0.000000,0.000000,1726701783.005824,435783.000,3252,1,TL,1,100,2024-09-18_19-22-58-021929
0.000000,0.000000,1726701783.059825,435837.000,3255,1,TL,1,100,2024-09-18_19-23-03-015309
0.000000,0.000000,1726701788.113896,440891.000,4084,1,TL,1,100,2024-09-18_19-23-03-161309
0.000000,0.000000,1726701788.128896,440906.000,4087,1,TL,1,100,2024-09-18_19-23-08-122396
0.000000,0.000000,1726701793.242968,446020.000,4931,1,TL,1,100,2024-09-18_19-23-08-153016
0.000000,0.000000,1726701793.265968,446043.000,4934,1,TL,1,100,2024-09-18_19-23-13-251088
0.000000,0.000000,1726701798.352040,451129.000,5762,1,TL,1,100,2024-09-18_19-23-13-334958
0.000000,0.000000,1726701798.377041,451154.000,5765,1,TL,1,100,2024-09-18_19-23-18-367678
0.000000,0.000000,1726701803.483113,456260.000,6610,1,TL,1,100,2024-09-18_19-23-18-407521
0.000000,0.000000,1726701803.504113,456281.000,6613,1,TL,1,100,2024-09-18_19-23-23-494809
0.000000,0.000000,1726701808.590185,461367.000,7444,1,TL,1,100,2024-09-18_19-23-23-584975
0.000000,0.000000,1726701808.609185,461386.000,7447,1,TL,1,100,2024-09-18_19-23-28-597827
0.000000,0.000000,1726701813.698257,466475.000,8273,1,TL,1,100,2024-09-18_19-23-28-663466
0.000000,0.000000,1726701813.721257,466498.000,8276,1,TL,1,100,2024-09-18_19-23-33-708563
0.000000,0.000000,1726701818.806329,471583.000,9105,1,TL,1,100,2024-09-18_19-23-33-750046
0.000000,0.000000,1726701818.829329,471606.000,9108,1,TL,1,100,2024-09-18_19-23-38-822081
0.000000,0.000000,1726701823.937401,476714.000,9952,1,TL,1,100,2024-09-18_19-23-39-106637
0.000000,0.000000,1726701829.056473,481833.000,10784,1,TL,1,100,2024-09-18_19-23-44-077085
0.000000,0.000000,1726701829.060473,481837.000,10786,1,TL,1,100,2024-09-18_19-23-44-077534
0.000000,0.000000,1726701829.074473,481851.000,10789,1,TL,1,100,2024-09-18_19-23-49-066576
0.000000,0.000000,1726701834.165545,486942.000,11617,1,TL,1,100,2024-09-18_19-23-49-136454
0.000000,0.000000,1726701834.192546,486969.000,11620,1,TL,1,100,2024-09-18_19-23-54-180160
0.000000,0.000000,1726701839.300618,492077.000,12462,1,TL,1,100,2024-09-18_19-23-54-212738
0.000000,0.000000,1726701839.315618,492092.000,12465,1,TL,1,100,2024-09-18_19-23-59-306319
0.000000,0.000000,1726701844.413690,497190.000,13295,1,TL,1,100,2024-09-18_19-23-59-485960
0.000000,0.000000,1726701844.426690,497203.000,13298,1,TL,1,100,2024-09-18_19-24-04-420690
0.000000,0.000000,1726701849.519762,502296.000,14128,1,TL,1,100,2024-09-18_19-24-04-463809
0.000000,0.000000,1726701849.539762,502316.000,14131,1,TL,1,100,2024-09-18_19-24-09-528656
0.000000,0.000000,1726701854.651834,507428.000,14975,1,TL,1,100,2024-09-18_19-24-09-574759
0.000000,0.000000,1726701854.673835,507450.000,14978,1,TL,1,100,2024-09-18_19-24-14-660982
0.000000,0.000000,1726701859.757906,512534.000,15807,1,TL,1,100,2024-09-18_19-24-14-741082
0.000000,0.000000,1726701859.779907,512556.000,15810,1,TL,1,100,2024-09-18_19-24-19-769428
0.000000,0.000000,1726701864.865978,517642.000,16638,1,TL,1,100,2024-09-18_19-24-19-810565
0.000000,0.000000,1726701864.880978,517657.000,16641,1,TL,1,100,2024-09-18_19-24-24-873776
0.000000,0.000000,1726701869.989051,522765.000,17485,1,TL,1,100,2024-09-18_19-24-24-911502
