1726677202.144352,space
1726677202.562633,space
1726677203.1514409,space
1726677203.421338,space
1726677203.7879832,space
1726677204.1882958,space
1726677204.443112,space
1726677204.641043,space
1726677204.845132,space
1726677205.0730581,space
1726677205.32921,space
1726677205.530462,space
1726677205.81258,space
1726677206.0243871,space
1726677206.208204,space
1726677206.389024,space
1726677206.5631502,space
1726677203.668243,positive
1726677204.210988,positive
1726677204.486594,positive
1726677204.669156,positive
1726677204.869059,positive
1726677205.780747,positive
1726677205.964074,positive
1726677206.1279922,positive
1726677206.339565,positive
1726677206.523148,positive
1726677202.939322,negative
1726677203.27365,negative
1726677204.006285,negative
1726677204.314703,negative
1726677204.550154,negative
1726677204.765134,negative
1726677204.965119,negative
1726677205.1592278,negative
1726677205.674401,negative
1726677205.8601558,negative
1726677206.036108,negative
1726677206.227958,negative
1726677206.427302,negative
